"Species","col_2b","col_16S","Group","Color"
"Moraxella_A",0,5.41859e-05,"s11_11","16S only"
"Muribaculum",0,5.41859e-05,"s11_11","16S only"
"Muricomes",0,0.000758602,"s11_11","16S only"
"MVZB01",0,3.61239e-05,"s11_11","16S only"
"Neisseria",0.202424221,0.142346248,"s11_11","shared"
"NSJ-38",0,0.000126434,"s11_11","16S only"
"NSJ-40",0,7.22478e-05,"s11_11","16S only"
"NSJ-50",0,5.41859e-05,"s11_11","16S only"
"NSJ-54",0,0.000776664,"s11_11","16S only"
"NSJ-63",0,3.61239e-05,"s11_11","16S only"
"Odoribacter",0,0.000957283,"s11_11","16S only"
"OF09-33XD",0,7.22478e-05,"s11_11","16S only"
"Olsenella",0.000276231,0,"s11_11","2b only"
"Olsenella_E",0,0.000144496,"s11_11","16S only"
"Oribacterium",0.000726259,0.002799603,"s11_11","shared"
"Oscillibacter",0,0.003305337,"s11_11","16S only"
"Ottowia",0.000281454,9.03098e-05,"s11_11","shared"
"Parabacteroides",0,0.00767633,"s11_11","16S only"
"Paracoccus",1.25004e-05,0,"s11_11","2b only"
"Paraeggerthella",0,9.03098e-05,"s11_11","16S only"
"Paraprevotella",0,0.001137903,"s11_11","16S only"
"Parasutterella",0,0.000343177,"s11_11","16S only"
"Parvimonas",0.004141501,0.001679762,"s11_11","shared"
"Pauljensenia",0.003301345,0.001282399,"s11_11","shared"
"Peptidiphaga",0.002555773,0,"s11_11","2b only"
"Peptoanaerobacter",0.000543712,0.000469611,"s11_11","shared"
"Peptostreptococcus",0.000399667,0.000379301,"s11_11","shared"
"Phascolarctobacterium_A",0,0.011162287,"s11_11","16S only"
"Phocaeicola",7.25021e-05,0.02506999,"s11_11","shared"
"Porphyromonas",0.021099985,0.026370451,"s11_11","shared"
"Prevotella",0.027905825,0.044396279,"s11_11","shared"
"Prevotellamassilia",0,0.007044161,"s11_11","16S only"
"Propionimicrobium",1.66671e-05,0,"s11_11","2b only"
"Pseudoflavonifractor",0,7.22478e-05,"s11_11","16S only"
"Pseudoleptotrichia",0.000581185,0.001499142,"s11_11","shared"
"Pseudoramibacter",3.65635e-05,0,"s11_11","2b only"
"Ralstonia",1.21878e-05,0,"s11_11","2b only"
"Raoultibacter",0,5.41859e-05,"s11_11","16S only"
"RC9",0,0.031789036,"s11_11","16S only"
"RF16",0,0.003215028,"s11_11","16S only"
"Rodentibacter",6.07309e-05,9.03098e-05,"s11_11","shared"
"Romboutsia",0,0.002926036,"s11_11","16S only"
"Roseburia",0,0.008525242,"s11_11","16S only"
"Rothia",0.193903838,0.0936151,"s11_11","shared"
"RQZE01",0,0.000361239,"s11_11","16S only"
"RUG13077",0,0.000577982,"s11_11","16S only"
"RUG13160",0,0.000939222,"s11_11","16S only"
"RUG350",0,3.61239e-05,"s11_11","16S only"
"Ruminococcus",0,3.61239e-05,"s11_11","16S only"
"Ruminococcus_A",0,0.001029531,"s11_11","16S only"
"Ruminococcus_B",0,0.010439809,"s11_11","16S only"
"Ruminococcus_C",0,0.000361239,"s11_11","16S only"
"Ruminococcus_E",0,0.000975345,"s11_11","16S only"
"Ruthenibacterium",0,0.000487673,"s11_11","16S only"
"Saccharimonas",0.001500862,0,"s11_11","2b only"
"Scardovia",0.000106684,0,"s11_11","2b only"
"Schwartzia",0,0.000126434,"s11_11","16S only"
"SDRW01",0.000895883,5.41859e-05,"s11_11","shared"
"Selenomonas",0.000233883,0.000198681,"s11_11","shared"
"SFTJ01",0,0.000866974,"s11_11","16S only"
"Shuttleworthia",0.000140097,0,"s11_11","2b only"
"Slackia",0.000158853,0,"s11_11","2b only"
"Slackia_A",0,5.41859e-05,"s11_11","16S only"
"Soleaferrea",0,0.000866974,"s11_11","16S only"
"Sphingomicrobium",0,9.03098e-05,"s11_11","16S only"
"Sphingomonas",0,5.41859e-05,"s11_11","16S only"
"Stomatobaculum",2.10423e-05,0,"s11_11","2b only"
"Streptobacillus",0,0.000596044,"s11_11","16S only"
"Streptococcus",0.204855339,0.139799512,"s11_11","shared"
"Succinivibrio",0,0.000108372,"s11_11","16S only"
"Sutterella",0,0.002203558,"s11_11","16S only"
"Suttonella",0,7.22478e-05,"s11_11","16S only"
"Syntrophomonas_A",0,3.61239e-05,"s11_11","16S only"
"SZUA-359",0,9.03098e-05,"s11_11","16S only"
