id,S9_11,S9_12,S9_14,S9_1,S9_2,S9_6,S9_7,S9_9,S11_11,S11_12,S11_14,S11_1,S11_2,S11_6,S11_7,S11_9,S17_11,S17_12,S17_14,S17_1,S17_2,S17_6,S17_7,S17_9
Metamycoplasma_salivarium,0,1733463,0,0,0,41700,47700,47100,0,2603978,0,155032,0,48300,44500,31400,0,501611,0,76800,0,53800,35000,47900
Leptotrichia_A_sp001274535,288640,4254314,1015655,350673,1145432,544331,1627547,2805937,0,2541569,2737719,377968,1204626,4756171,782193,3449302,0,1608110,838492,198137,1682966,2178188,534681,2037564
Capnocytophaga_bilenii,0,4679328,1581372,99300,0,169262,3492964,2674176,0,2236687,1866126,595472,0,195075,2266165,1992983,0,1399030,716312,702427,0,255730,1301583,1235678
Selenomonas_sputigena,634845,501122,2367721,267985,187917,365353,773106,1984438,0,2033705,248378,70200,0,101021,319730,758965,0,120472,683764,19800,0,0,484689,962928
Prevotella_enoeca,0,272381,595337,0,1475134,63800,20500,1119677,0,1850981,544547,0,1493707,29000,145410,972941,17700,434447,357540,0,1038472,0,125138,999690
Aggregatibacter_kilianii,0,631309,0,324075,0,0,1073269,142111,0,1831951,0,144794,0,0,278613,240500,0,4359033,0,68700,0,0,326674,288760
Prevotella_micans,21300,983869,573601,60900,88500,89500,2369346,1116304,0,1829496,0,94200,0,122741,1044637,500149,0,63800,129331,5230,0,0,310706,216659
Johnsonella_sp900766185,0,1935478,52700,0,0,68700,10100,1146192,0,1736497,51100,46900,0,566679,176997,1162891,0,35300,0,23400,0,20000,78300,339515
Treponema_sp010365865,0,2354750,0,0,0,24000,33000,450871,0,1635006,0,39600,0,113623,0,399168,0,634424,0,4710,0,0,44700,521428
Olsenella_F_sp001189515,194919,533695,172542,0,0,12900,0,40400,0,1258814,0,0,0,74900,0,30200,0,0,0,0,0,0,16800,15800
HOT-345_sp003260355,0,1276190,392724,244503,896078,2242689,0,4105870,0,1232521,0,200162,0,1478222,0,4117753,0,0,0,250575,0,290704,0,2041122
Porphyromonas_sp905372525,25000,528892,0,0,35100,864858,399356,125830,0,1146376,0,376192,4123947,1656187,887556,154386,944347,658093,76400,629055,1414296,1633182,1065710,371889
Hornefia_minuta,0,1266063,0,0,0,0,0,0,0,1138601,0,0,0,0,54400,0,0,147580,0,0,0,0,0,0
